
Track
Longitude , Offset    , Lanes     
0.00      , 1.00      , 2.00      
25.00     , 1.00      , 2.00      
50.00     , 1.00      , 2.00      
75.00     , 1.00      , 2.00      
100.00    , 1.00      , 2.00      
125.00    , 0.00      , 3.00      
150.00    , 0.00      , 3.00      
175.00    , 0.00      , 3.00      
200.00    , 0.00      , 3.00      
225.00    , 0.00      , 3.00      
250.00    , 0.00      , 3.00      
275.00    , 0.00      , 3.00      
300.00    , 1.00      , 3.00      
325.00    , 1.00      , 3.00      
350.00    , 1.00      , 3.00      
375.00    , 1.00      , 3.00      
400.00    , 1.00      , 3.00      
425.00    , 1.00      , 4.00      
450.00    , 1.00      , 4.00      
475.00    , 1.00      , 4.00      
500.00    , 1.00      , 4.00      
525.00    , 1.00      , 4.00      
550.00    , 1.00      , 4.00      
575.00    , 1.00      , 4.00      
600.00    , 1.00      , 4.00      
625.00    , 1.00      , 3.00      
650.00    , 1.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
20.00  , 333.60 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 372.63 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 411.66 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 450.69 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 489.72 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 528.75 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 567.78 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 606.82 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 645.85 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 684.88 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
45.00  , 723.91 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
47.50  , 762.94 , 7.00   , 0.00   , 15.61  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_2
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 251.88 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 280.70 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 309.51 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 338.33 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 367.15 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 395.97 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 424.78 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 453.60 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 482.42 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 511.23 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 540.05 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 568.87 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 597.68 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 626.50 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 655.32 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 684.13 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 712.95 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 741.77 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
45.00  , 770.59 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
47.50  , 799.40 , 3.50   , 0.00   , 11.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_3
t       , x       , y       , z       , vx      , vy      , vz      , rx      , ry      , rz      , rw      
0.00    , 129.70  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
2.50    , 177.51  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
5.00    , 225.32  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
7.50    , 273.13  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
10.00   , 320.94  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
12.50   , 368.75  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
15.00   , 416.55  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
17.50   , 464.36  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
20.00   , 512.17  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
22.50   , 559.98  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
25.00   , 607.79  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
27.50   , 655.60  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
30.00   , 703.41  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
32.50   , 751.22  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
35.00   , 799.03  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
37.50   , 846.84  , 3.50    , 0.00    , 19.12   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
40.00   , 887.70  , 3.50    , 0.00    , 16.35   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
42.50   , 928.57  , 3.50    , 0.00    , 16.35   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
45.00   , 969.43  , 3.50    , 0.00    , 16.35   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
47.50   , 1010.30 , 3.50    , 0.00    , 16.35   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
-----

Trajectory: Traffic_4
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 179.79 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 210.63 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 241.46 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 272.29 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 303.12 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 333.95 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 364.78 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 395.61 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 426.44 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 457.28 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 488.11 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 518.94 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 549.77 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 580.60 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 611.43 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 642.26 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 673.10 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 703.93 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
45.00  , 734.76 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
47.50  , 765.59 , 7.00   , 0.00   , 12.33  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_5
t       , x       , y       , z       , vx      , vy      , vz      , rx      , ry      , rz      , rw      
0.00    , 30.95   , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
2.50    , 86.04   , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
5.00    , 141.13  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
7.50    , 196.22  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
10.00   , 251.31  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
12.50   , 306.40  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
15.00   , 361.49  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
17.50   , 416.58  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
20.00   , 471.67  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
22.50   , 526.76  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
25.00   , 581.85  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
27.50   , 636.95  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
30.00   , 692.04  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
32.50   , 747.13  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
35.00   , 802.22  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
37.50   , 857.31  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
40.00   , 912.40  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
42.50   , 967.49  , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
45.00   , 1022.58 , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
47.50   , 1077.67 , 7.00    , 0.00    , 22.04   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
-----
