
Track
Longitude , Offset    , Lanes     
0.00      , 0.00      , 2.00      
25.00     , 0.00      , 2.00      
50.00     , 0.00      , 2.00      
75.00     , 0.00      , 2.00      
100.00    , 0.00      , 3.00      
125.00    , 0.00      , 3.00      
150.00    , 0.00      , 3.00      
175.00    , 0.00      , 3.00      
200.00    , 0.00      , 3.00      
225.00    , 0.00      , 3.00      
250.00    , 0.00      , 4.00      
275.00    , 0.00      , 4.00      
300.00    , 0.00      , 4.00      
325.00    , 0.00      , 4.00      
350.00    , 0.00      , 4.00      
375.00    , 0.00      , 4.00      
400.00    , 0.00      , 4.00      
425.00    , 0.00      , 4.00      
450.00    , 0.00      , 4.00      
475.00    , 0.00      , 4.00      
500.00    , 0.00      , 3.00      
525.00    , 0.00      , 3.00      
550.00    , 0.00      , 3.00      
575.00    , 0.00      , 3.00      
600.00    , 0.00      , 3.00      
625.00    , 0.00      , 3.00      
650.00    , 0.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
Trajectory: Traffic_3
t       , x       , y       , z       , vx      , vy      , vz      , rx      , ry      , rz      , rw      
0.00    , 117.07  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
2.50    , 169.21  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
5.00    , 221.35  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
7.50    , 273.48  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
10.00   , 325.62  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
12.50   , 377.76  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
15.00   , 429.89  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
17.50   , 482.03  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
20.00   , 534.17  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
22.50   , 586.30  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
25.00   , 638.44  , 0.00    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
27.50   , 690.58  , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
30.00   , 742.71  , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
32.50   , 794.85  , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
35.00   , 846.99  , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
37.50   , 899.12  , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
40.00   , 951.26  , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
42.50   , 1003.40 , 3.50    , 0.00    , 20.85   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
-----

Trajectory: Traffic_4
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , 76.13  , 0.00   , 0.00   , 15.81  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , 108.71 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 141.30 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 173.88 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 206.47 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 239.05 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 271.64 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 304.22 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 336.80 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 369.39 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 401.97 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 434.56 , 0.00   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 467.14 , 3.50   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 499.73 , 3.50   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 532.31 , 3.50   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 564.89 , 3.50   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
40.00  , 597.48 , 3.50   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
42.50  , 630.06 , 3.50   , 0.00   , 13.03  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----

Trajectory: Traffic_5
t       , x       , y       , z       , vx      , vy      , vz      , rx      , ry      , rz      , rw      
0.00    , -151.24 , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
2.50    , -110.61 , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
5.00    , -69.98  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
7.50    , -29.35  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
10.00   , 11.28   , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
12.50   , 51.92   , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
15.00   , 92.55   , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
17.50   , 133.18  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
20.00   , 173.81  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
22.50   , 214.44  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
25.00   , 255.08  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
27.50   , 295.71  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
30.00   , 336.34  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
32.50   , 376.97  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
35.00   , 417.60  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
37.50   , 458.24  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
40.00   , 498.87  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
42.50   , 539.50  , 0.00    , 0.00    , 16.25   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
-----
