
Track
Longitude , Offset    , Lanes     
0.00      , 1.00      , 3.00      
25.00     , 1.00      , 3.00      
50.00     , 1.00      , 3.00      
75.00     , 1.00      , 3.00      
100.00    , 1.00      , 3.00      
125.00    , 2.00      , 3.00      
150.00    , 2.00      , 3.00      
175.00    , 2.00      , 3.00      
200.00    , 2.00      , 3.00      
225.00    , 2.00      , 3.00      
250.00    , 2.00      , 3.00      
275.00    , 2.00      , 3.00      
300.00    , 2.00      , 3.00      
325.00    , 2.00      , 3.00      
350.00    , 2.00      , 3.00      
375.00    , 2.00      , 3.00      
400.00    , 2.00      , 3.00      
425.00    , 2.00      , 3.00      
450.00    , 2.00      , 3.00      
475.00    , 2.00      , 3.00      
500.00    , 2.00      , 3.00      
525.00    , 2.00      , 3.00      
550.00    , 2.00      , 3.00      
575.00    , 2.00      , 3.00      
600.00    , 2.00      , 3.00      
625.00    , 2.00      , 3.00      
650.00    , 2.00      , 3.00      
675.00    , 1.00      , 3.00      
700.00    , 1.00      , 3.00      
725.00    , 1.00      , 3.00      
-----

Trajectory: Ego
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
t       , x       , y       , z       , vx      , vy      , vz      , rx      , ry      , rz      , rw      
0.00    , -175.86 , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
2.50    , -142.44 , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
5.00    , -109.03 , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
7.50    , -75.62  , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
10.00   , -42.21  , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
12.50   , -8.79   , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
15.00   , 24.62   , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
17.50   , 58.03   , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
20.00   , 91.45   , 3.50    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
22.50   , 124.86  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
25.00   , 158.27  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
27.50   , 191.69  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
30.00   , 225.10  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
32.50   , 258.51  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
35.00   , 291.92  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
37.50   , 325.34  , 7.00    , 0.00    , 13.37   , 0.00    , 0.00    , 0.00    , 0.00    , 0.00    , 1.00    
-----

Trajectory: Traffic_5
t      , x      , y      , z      , vx     , vy     , vz     , rx     , ry     , rz     , rw     
0.00   , -78.32 , 3.50   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
2.50   , -34.51 , 3.50   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
5.00   , 9.31   , 3.50   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
7.50   , 53.12  , 3.50   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
10.00  , 96.93  , 3.50   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
12.50  , 140.74 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
15.00  , 184.56 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
17.50  , 228.37 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
20.00  , 272.18 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
22.50  , 316.00 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
25.00  , 359.81 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
27.50  , 403.62 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
30.00  , 447.44 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
32.50  , 491.25 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
35.00  , 535.06 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
37.50  , 578.88 , 7.00   , 0.00   , 17.53  , 0.00   , 0.00   , 0.00   , 0.00   , 0.00   , 1.00   
-----
